ID,a1,a2,a3,a4,a5,a6,d1,d2,d3,d4,d5,d6,oxd
JOVRET.Cu(ii).pdb,O,O,N,CL,NE,NE,1.9181452989578247,1.9430044889450073,1.9464129209518433,2.2406468391418457,100.0,100.0,2
LAFRIU.Cu(ii).pdb,O,O,N,N,O,NE,1.937619686126709,1.9919450283050537,2.0000486373901367,2.001750946044922,2.3824844360351562,100.0,2
XOKFAH.Cu(ii).pdb,O,O,O,N,O,O,1.9682679176330566,1.9706724882125854,2.0004544258117676,2.013615369796753,2.254002094268799,2.3247172832489014,2
WEGZOX.Cu(ii).pdb,O,O,N,N,O,O,1.9651473760604858,1.9699506759643555,2.020108461380005,2.0214951038360596,2.4177119731903076,2.444340944290161,2
ASUCIA.Cu(ii).pdb,N,N,N,CL,O,NE,2.004823923110962,2.023129463195801,2.105576515197754,2.246028423309326,2.3373849391937256,100.0,2
GISHEW.Cu(ii).pdb,O,N,N,N,NE,NE,1.925060510635376,1.984980583190918,1.9890938997268677,1.990980625152588,100.0,100.0,2
CASHEM.Cu(ii).pdb,N,N,O,O,O,NE,1.9058178663253784,1.9366545677185059,2.02864408493042,2.035369873046875,2.3370842933654785,100.0,2
ESEHER.Cu(ii).pdb,O,N,N,O,N,NE,1.9762852191925049,1.977329134941101,2.000408887863159,2.0025243759155273,2.2654011249542236,100.0,2
WELPAF.Cu(ii).pdb,N,N,N,N,O,NE,1.9547042846679688,1.956634521484375,2.013309955596924,2.020974636077881,2.429537534713745,100.0,2
UNOPOD01.Cu(ii).pdb,O,N,O,N,NE,NE,1.882641077041626,1.9024357795715332,1.9226162433624268,2.0046396255493164,100.0,100.0,2
VOZRUZ02.Cu(ii).pdb,O,N,N,N,N,NE,1.9171491861343384,1.9361531734466553,1.9595235586166382,2.039990186691284,2.4691033363342285,100.0,2
VARYIY.Cu(ii).pdb,N,N,N,N,NE,NE,2.018589973449707,2.0196619033813477,2.038198471069336,2.0383870601654053,100.0,100.0,2
