ID,a1,a2,a3,a4,a5,a6,d1,d2,d3,d4,d5,d6,oxd
QEVHAB.Fe(ii).pdb,C,C,C,N,N,N,1.9019500017166138,1.917616605758667,1.922008752822876,1.9481080770492554,1.9632238149642944,1.9713858366012573,2
VAVMOV.Fe(ii).pdb,O,N,N,N,O,N,2.086276054382324,2.16086745262146,2.1739892959594727,2.2389237880706787,2.239804744720459,2.2415199279785156,2
IKOHEW.Fe(ii).pdb,C,C,C,C,C,C,2.032992124557495,2.0457985401153564,2.046211004257202,2.0477936267852783,2.0542173385620117,2.0592005252838135,2
ASAZIE.Fe(ii).pdb,C,C,C,C,C,C,2.0199382305145264,2.0226008892059326,2.0264220237731934,2.030003786087036,2.0362815856933594,2.037259101867676,2
GAPSIA01.Fe(ii).pdb,N,N,N,N,N,N,2.1591153144836426,2.159183979034424,2.1678316593170166,2.168349027633667,2.199120283126831,2.199120283126831,2
ECENAC.Fe(ii).pdb,C,C,C,C,C,C,2.041501522064209,2.041762113571167,2.042891502380371,2.0438005924224854,2.0465941429138184,2.0483667850494385,2
BUCDOS.Fe(ii).pdb,O,O,O,O,O,O,2.0499963760375977,2.0499963760375977,2.0646581649780273,2.0646581649780273,2.151263952255249,2.151263952255249,2
GUYREA.Fe(ii).pdb,C,C,C,C,C,C,1.7753880023956299,1.7877748012542725,2.084857702255249,2.0878307819366455,2.0907328128814697,2.0949156284332275,2
GEJZAX.Fe(ii).pdb,N,N,N,N,N,N,1.9635324478149414,1.9718937873840332,1.985958218574524,1.9886504411697388,1.9897055625915527,2.0026662349700928,2
GEJZAX.Fe(ii).pdb,N,N,N,N,N,N,1.9606513977050781,1.966709017753601,1.9791823625564575,1.988623857498169,1.9970871210098267,2.00361704826355,2
DUFFUG.Fe(ii).pdb,C,C,C,C,C,C,2.0274176597595215,2.027547836303711,2.039494514465332,2.04241681098938,2.045398235321045,2.047116279602051,2
DUFFUG.Fe(ii).pdb,C,C,C,C,C,C,2.030266046524048,2.0344552993774414,2.039684534072876,2.0400750637054443,2.041365623474121,2.0487239360809326,2
OQAFEU.Fe(ii).pdb,O,O,O,NE,NE,NE,1.8186306953430176,1.8199015855789185,2.0749964714050293,100.0,100.0,100.0,2
EWUROF.Fe(ii).pdb,N,N,N,N,N,NE,2.07295560836792,2.0739996433258057,2.0786006450653076,2.0786006450653076,2.1052377223968506,100.0,2
DAQHOU.Fe(ii).pdb,N,N,N,N,N,N,1.9544047117233276,1.9578187465667725,1.9623596668243408,1.9826734066009521,1.9829474687576294,1.9943283796310425,2
RUDSIS.Fe(ii).pdb,N,N,N,N,NE,NE,2.2117249965667725,2.2147796154022217,2.216496467590332,2.230647325515747,100.0,100.0,2
RUDSIS.Fe(ii).pdb,N,N,N,N,NE,NE,2.211724281311035,2.2152726650238037,2.2164971828460693,2.230147361755371,100.0,100.0,2
LOJVEN.Fe(ii).pdb,N,N,N,N,NE,NE,2.194307804107666,2.1963071823120117,2.240751028060913,2.2498340606689453,100.0,100.0,2
TIQSOC.Fe(ii).pdb,O,O,O,O,N,N,2.056732654571533,2.092017412185669,2.1897287368774414,2.244173526763916,2.298893690109253,2.300368309020996,2
