ID,a1,a2,a3,a4,a5,a6,d1,d2,d3,d4,d5,d6,oxd
SIXRIB.Co(ii).pdb,O,N,N,O,O,NE,2.0139999389648438,2.061000347137451,2.146414279937744,2.1699230670928955,2.1699230670928955,100.0,2
EMOSUV.Co(ii).pdb,O,O,O,N,O,N,2.0681965351104736,2.078518867492676,2.106192111968994,2.109950065612793,2.172264814376831,2.175811529159546,2
KAQZEJ.Co(ii).pdb,O,O,N,N,NE,NE,2.058825969696045,2.0595085620880127,2.144426107406616,2.167562246322632,100.0,100.0,2
ISOCIC.Co(ii).pdb,O,O,N,O,O,O,2.0258376598358154,2.071061134338379,2.112327814102173,2.130347490310669,2.151820421218872,2.2176826000213623,2
SEWVIB.Co(ii).pdb,N,N,N,N,NE,NE,2.0003738403320312,2.0061793327331543,2.0216033458709717,2.0472819805145264,100.0,100.0,2
GIGGOT.Co(ii).pdb,N,N,CL,CL,NE,NE,1.9999725818634033,2.074445962905884,2.2176053524017334,2.2176053524017334,100.0,100.0,2
NUZJEY.Co(ii).pdb,N,N,NE,NE,NE,NE,2.077211856842041,2.0775861740112305,100.0,100.0,100.0,100.0,2
VOQFAJ01.Co(ii).pdb,N,N,O,O,N,N,2.0464348793029785,2.0839226245880127,2.1514792442321777,2.15549898147583,2.2384321689605713,2.2529637813568115,2
ELOBAJ.Co(ii).pdb,CL,CL,CL,CL,NE,NE,2.222208023071289,2.222719430923462,2.267465591430664,2.267744302749634,100.0,100.0,2
ZEZWOT02.Co(ii).pdb,O,O,O,N,NE,NE,1.9227406978607178,1.9318172931671143,1.9385693073272705,2.062898874282837,100.0,100.0,2
FAMHEI.Co(ii).pdb,O,O,O,O,O,N,2.0358266830444336,2.064061164855957,2.102435350418091,2.1100151538848877,2.110245943069458,2.1257028579711914,2
YUYDOO.Co(ii).pdb,N,N,N,S,S,NE,2.073216199874878,2.0893189907073975,2.1772239208221436,2.353811025619507,2.4455349445343018,100.0,2
JUPYOL.Co(ii).pdb,O,O,N,N,NE,NE,1.9527034759521484,1.9926071166992188,2.016327142715454,2.043726682662964,100.0,100.0,2
LUYYEK.Co(ii).pdb,N,N,N,N,NE,NE,1.9806464910507202,1.9814717769622803,2.0403318405151367,2.040980577468872,100.0,100.0,2
EBOPIW.Co(ii).pdb,O,O,O,O,O,O,2.0358223915100098,2.0359814167022705,2.091876745223999,2.092048406600952,2.0995702743530273,2.0995707511901855,2
AMIBOP.Co(ii).pdb,C,N,N,N,N,CL,1.8840274810791016,1.9656362533569336,1.975529670715332,1.9799611568450928,1.9831746816635132,2.311826229095459,2
ECELEE.Co(ii).pdb,C,C,C,C,B,B,2.032000780105591,2.049229383468628,2.0493276119232178,2.0529465675354004,2.080479860305786,2.083562135696411,2
DUBWUT.Co(ii).pdb,N,N,O,CL,CL,CL,2.103210687637329,2.111605405807495,2.2018823623657227,2.444859743118286,2.44827938079834,2.4499478340148926,2
PAXTIU.Co(ii).pdb,N,N,N,N,N,N,2.057102918624878,2.0593936443328857,2.19030499458313,2.190781831741333,2.1929678916931152,2.226217031478882,2
OQIMEI.Co(ii).pdb,N,N,N,N,NE,NE,2.117175817489624,2.1171767711639404,2.1597251892089844,2.160076856613159,100.0,100.0,2
PUXLUQ.Co(ii).pdb,O,O,O,O,O,O,2.064434766769409,2.0748462677001953,2.0771713256835938,2.0790212154388428,2.1040146350860596,2.1041553020477295,2
XELKEG.Co(ii).pdb,O,O,N,N,N,N,2.00164532661438,2.115006685256958,2.125894069671631,2.1312429904937744,2.131744623184204,2.1326138973236084,2
VICWEM.Co(ii).pdb,N,O,O,O,O,O,2.0815956592559814,2.0882627964019775,2.0895895957946777,2.1150050163269043,2.116912841796875,2.1850969791412354,2
HUXSIC.Co(ii).pdb,N,N,N,N,N,NE,1.9327090978622437,1.9425140619277954,1.9510074853897095,1.9566963911056519,2.1668310165405273,100.0,2
AJOWOO.Co(ii).pdb,O,O,N,N,O,O,2.030977725982666,2.031572103500366,2.11684513092041,2.117586135864258,2.179694175720215,2.1808414459228516,2
CUBXED.Co(ii).pdb,O,O,N,N,O,O,1.8849376440048218,1.8851685523986816,1.9028109312057495,1.904654622077942,1.907794713973999,1.914337396621704,2
BAVYOM01.Co(ii).pdb,O,O,O,O,NE,NE,2.038217306137085,2.038217782974243,2.05806303024292,2.059148073196411,100.0,100.0,2
UQUMUP02.Co(ii).pdb,N,N,CL,CL,NE,NE,2.0165798664093018,2.0173213481903076,2.254936933517456,2.2592806816101074,100.0,100.0,2
TUTMAZ.Co(ii).pdb,N,N,N,N,N,N,1.947023868560791,1.960146188735962,1.966654658317566,1.9673457145690918,1.9674845933914185,1.9678384065628052,2
YANBAR03.Co(ii).pdb,O,O,O,O,O,O,2.0534207820892334,2.0801496505737305,2.0862631797790527,2.1084792613983154,2.110140562057495,2.110147476196289,2
PTACCO.Co(ii).pdb,O,O,O,O,O,NE,2.0225236415863037,2.0241732597351074,2.0714268684387207,2.103947401046753,2.1409504413604736,100.0,2
IGALOR.Co(ii).pdb,O,O,O,O,N,N,2.0770761966705322,2.077604055404663,2.089211940765381,2.0897865295410156,2.1501753330230713,2.1513476371765137,2
BAFCUI.Co(ii).pdb,O,O,O,N,O,O,2.0253243446350098,2.060227394104004,2.0737102031707764,2.121649742126465,2.143632650375366,2.3133983612060547,2
ENETOH.Co(ii).pdb,N,N,O,O,O,NE,2.10115909576416,2.10115909576416,2.1469340324401855,2.1469340324401855,2.156935214996338,100.0,2
PIKROT.Co(ii).pdb,O,O,O,O,N,N,2.0436370372772217,2.0437886714935303,2.111353635787964,2.1117630004882812,2.176089286804199,2.176753520965576,2
LOTTOF04.Co(ii).pdb,N,N,N,N,N,N,1.879820704460144,1.8803716897964478,1.9926074743270874,1.992607831954956,2.053584575653076,2.0536398887634277,2
QUMTIB.Co(ii).pdb,O,O,N,N,N,N,2.0624308586120605,2.0956716537475586,2.1100175380706787,2.1108531951904297,2.189499616622925,2.196113348007202,2
KIGMEU.Co(ii).pdb,O,O,O,N,N,O,2.047154664993286,2.104363203048706,2.111360549926758,2.1225953102111816,2.131835699081421,2.1375200748443604,2
PEQRIN.Co(ii).pdb,N,N,CL,CL,NE,NE,2.0458571910858154,2.0463602542877197,2.2370810508728027,2.2429637908935547,100.0,100.0,2
PASJEB.Co(ii).pdb,C,O,C,C,C,C,1.3978838920593262,1.559931755065918,1.7667738199234009,1.8383296728134155,1.8412233591079712,1.8474591970443726,2
VOJCOO08.Co(ii).pdb,N,N,N,N,N,N,1.908873438835144,1.9236407279968262,1.9252434968948364,1.9373512268066406,2.114497423171997,2.1159441471099854,2
ZAWBIM.Co(ii).pdb,O,N,N,O,NE,NE,2.1204776763916016,2.1508243083953857,2.160615921020508,2.202934741973877,100.0,100.0,2
MEFFIQ.Co(ii).pdb,O,O,O,O,O,O,2.032672643661499,2.032672643661499,2.0993294715881348,2.099329710006714,2.1571969985961914,2.157696485519409,2
TUCONM11.Co(ii).pdb,S,S,S,S,NE,NE,2.3036365509033203,2.313307046890259,2.314832925796509,2.3151698112487793,100.0,100.0,2
NITPAI.Co(ii).pdb,N,O,O,N,O,O,2.046292781829834,2.06064510345459,2.0623836517333984,2.0836291313171387,2.1044139862060547,2.133371353149414,2
SUZDOI.Co(ii).pdb,O,O,N,N,NE,NE,1.9826525449752808,1.9913716316223145,2.016230583190918,2.0287981033325195,100.0,100.0,2
WEDFER.Co(ii).pdb,O,O,O,O,O,O,2.0521082878112793,2.0716328620910645,2.0975191593170166,2.101430892944336,2.109935760498047,2.114262104034424,2
FOYWUM.Co(ii).pdb,N,N,N,N,NE,NE,1.9501395225524902,1.9586527347564697,1.9997717142105103,2.0078375339508057,100.0,100.0,2
DITXIO.Co(ii).pdb,O,O,O,O,N,N,1.9827367067337036,1.9838348627090454,2.1638264656066895,2.1638662815093994,2.2027595043182373,2.2027595043182373,2
SAZYOI.Co(ii).pdb,CL,CL,CL,CL,NE,NE,2.2526867389678955,2.253782272338867,2.2837460041046143,2.284365177154541,100.0,100.0,2
MURCOA.Co(ii).pdb,O,O,NE,NE,NE,NE,2.0965476036071777,2.0965476036071777,100.0,100.0,100.0,100.0,2
XIYHOD.Co(ii).pdb,O,N,O,N,O,O,2.058181047439575,2.063107490539551,2.0733542442321777,2.0804624557495117,2.303940534591675,2.316025495529175,2
BAVSAV.Co(ii).pdb,O,N,N,O,O,O,2.081996440887451,2.09001088142395,2.1077919006347656,2.1289892196655273,2.169142961502075,2.251267433166504,2
QURBAH.Co(ii).pdb,N,N,NE,NE,NE,NE,2.146679401397705,2.146880865097046,100.0,100.0,100.0,100.0,2
HAYSOR.Co(ii).pdb,O,O,O,O,O,O,2.0579960346221924,2.0582807064056396,2.0793590545654297,2.0799288749694824,2.0807294845581055,2.082059144973755,2
ZAPPUE.Co(ii).pdb,N,O,O,N,NE,NE,1.8918910026550293,1.9226717948913574,1.924355149269104,1.933053731918335,100.0,100.0,2
UGALUK.Co(ii).pdb,O,N,N,N,N,NE,2.00414776802063,2.053867816925049,2.0543205738067627,2.0682413578033447,2.3347737789154053,100.0,2
QUTTEF.Co(ii).pdb,O,O,N,NE,NE,NE,2.0148134231567383,2.044339418411255,2.1440398693084717,100.0,100.0,100.0,2
YEXYEI.Co(ii).pdb,O,N,O,O,O,NE,2.0104312896728516,2.1393725872039795,2.167965888977051,2.1774139404296875,2.1943957805633545,100.0,2
MEKGOY.Co(ii).pdb,S,S,S,S,NE,NE,2.3113725185394287,2.3216264247894287,2.3230643272399902,2.3372888565063477,100.0,100.0,2
BANZAU.Co(ii).pdb,N,O,O,C,NE,NE,2.0983517169952393,2.154477596282959,2.1828768253326416,2.4835422039031982,100.0,100.0,2
TOTWEE.Co(ii).pdb,O,N,N,O,N,N,2.075329065322876,2.0791866779327393,2.086890935897827,2.119997262954712,2.1704812049865723,2.209467887878418,2
LARCEO.Co(ii).pdb,O,O,N,N,CL,NE,2.0933868885040283,2.0982279777526855,2.1296944618225098,2.1320393085479736,2.45440673828125,100.0,2
YEYHOA.Co(ii).pdb,O,O,O,O,NE,NE,2.063659191131592,2.0643820762634277,2.0834031105041504,2.0835485458374023,100.0,100.0,2
